product_name,product_url,category,status,stars
Vakura Catla River Fish Cutting(No Head) 1Kg(Berhampur),https://yoshops.com/products/vakura-catla-river-fish-cutting-no-head-1kg-berhampur,Seafood,,5.0 star rating
River Prawn Raw Big-12cm 250gm(Berhampur),https://yoshops.com/products/river-prawn-raw-big-12cm-250gm-berhampur,Seafood,,5.0 star rating
River Prawn Raw Middium- 6cm 250gm(Berhampur),https://yoshops.com/products/river-prawn-raw-middium-6cm-250gm-berhampur,Seafood,,5.0 star rating
River Prawn Raw Big-12cm 500gm(Berhampur),https://yoshops.com/products/river-prawn-raw-big-12cm-500gm-berhampur,Seafood,,5.0 star rating
River Prawn Raw Middium- 6cm 500gm(Berhampur),https://yoshops.com/products/river-prawn-raw-middium-6cm-500gm-berhampur,Seafood,,5.0 star rating
River Prawn Small- 4cm 500gm(Berhampur),https://yoshops.com/products/river-prawn-small-4cm-500gm-berhampur,Seafood,,5.0 star rating
1KG Chicken Biryani (Chennai),https://yoshops.com/products/1-kg-chicken-biryani,Biryani,Reviewd,5.0 star rating
1 Bucket Chicken Biryani Party Pack 5kg (Chennai),https://yoshops.com/products/1-bucket-chechen-biryani-party-pack-5kg,Biryani,Reviewd,5.0 star rating
Quarter Chicken Biryani (Chennai),https://yoshops.com/products/quarter-chicken-biryanichennai,Biryani,,5.0 star rating
Combo Meal Chicken Biriyani (Chennai),https://yoshops.com/products/combo-meal-chechen-biriyani,Biryani,,5.0 star rating
Chicken Pakora-200Gm (Chennai),https://yoshops.com/products/chicken-pakora-200gm,Biryani,,5.0 star rating
Mutton Biriyani Plate 1/2kg. (Chennai),https://yoshops.com/products/mutton-biriyani,Biryani,,5.0 star rating
Egg Biriyani Plate 1/2 kg. (Chennai),https://yoshops.com/products/egg-biriyani,Biryani,,5.0 star rating
Chicken Biryani Plate(Chennai),https://yoshops.com/products/chicken-biryani,Biryani,,5.0 star rating
Summer Internship Gift,https://yoshops.com/products/summer-internship-gift,Services,Reviewd,4.6 star rating
Refer and Earn Rs.2000 and Get Free Partnership Gift,https://yoshops.com/products/refer-and-earn-rs-2000-and-get-free-partnership-gift,Services,Reviewd,5.0 star rating
Data Science Internship Training Program,https://yoshops.com/products/data-science-internship-training-program,Services,Reviewd,5.0 star rating
Blockchain Developer Internship Training Program,https://yoshops.com/products/blockchain-developer-internship-training-program1,Services,Reviewd,5.0 star rating
Hospitality Internship Training Program,https://yoshops.com/products/hospitality-internship-training-program1,Services,Reviewd,5.0 star rating
Cyber Security Internship Training Program,https://yoshops.com/products/cyber-security-internship-training-program,Services,Reviewd,5.0 star rating
Artificial Intelligence and Machine learning Internship Training Program,https://yoshops.com/products/artificial-intelligence-and-machine-learning-internship-training-program,Services,Reviewd,5.0 star rating
BigData Hadoop and Apache Spark Internship Training Program,https://yoshops.com/products/bigdata-hadoop-and-apache-spark-internship-training-program,Services,Reviewd,5.0 star rating
"Upstox Free Demat & Trading Account Get Free Gift (Wallet,Bag,Earphone) Value of Rs.999 from Yoshops.com",https://yoshops.com/products/upstox-free-demat-trading-account-get-free-gift-wallet-bag-earphone-value-of-rs-999-from-yoshops-com,Services,Reviewd,5.0 star rating
"ONLINE TUTION FOR CLASS- NURSERY,LKG,UKG(FREE 5 DAYS DEMO CLASS)",https://yoshops.com/products/online-tution-for-class-nursery-lkg-ukg-free-5-days-demo-class1,Services,Reviewd,5.0 star rating
Web Design & Development Internship Training Program,https://yoshops.com/products/web-design-development-internship-training-program1,Services,Reviewd,5.0 star rating
"Fun Activities for Kids LKG to STD 10(Singing, Dancing, Drawing, Craft, Music, Yoga, Karate)",https://yoshops.com/products/fun-activities-for-kids-lkg-to-std-10-singing-dancing-drawing-craft-music-yoga-karate,Services,Reviewd,5.0 star rating
Drone Workshop Training Program,https://yoshops.com/products/drone-workshop-training-program,Services,Reviewd,5.0 star rating
Cash On Delivery Services,https://yoshops.com/products/cash-on-delivery-services,Services,,5.0 star rating
Digital Signature Certificate (DSC) Class 2 valid for 2 Years with USB Device,https://yoshops.com/products/digital-signature-certificate-dsc-class-2-valid-for-2-years-with-usb-device,Services,,5.0 star rating
LED TV Installation Uninstall Repair Services,https://yoshops.com/products/led-tv-installation-uninstall-repair-services,Services,,5.0 star rating
Sales and Marketing Internship Training Course,https://yoshops.com/products/sales-and-marketing-internship-training-course1,Services,,5.0 star rating
ONLINE TUITION FOR STD 4 and STD 5(FREE 5 DAYS DEMO CBSE),https://yoshops.com/products/online-tuition-for-class-4th-5th-free-5-days-demo-class,Services,,5.0 star rating
Olifair Pearls Saffron and Radiant Effect Night Cream 50 ml(Riya Fruity Soap Free),https://yoshops.com/products/olifair-pearls-saffron-and-radiant-effect-night-cream-50ml,Services,,5.0 star rating
Free Gift Value of Rs.999 and Get Free Paytm Money Demat Account,https://yoshops.com/products/free-gift-value-of-rs-999-and-get-free-paytm-money-demat-account,Services,,5.0 star rating
YOLO Investor The Small Investment Service,https://yoshops.com/products/yolo-investor-the-small-investment-service,Services,,5.0 star rating
